,source_idx,source_name,issn,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,works_count,cited_by_count,wos_journal_name,wos_categories,topic_count,subfield_name,field_name,econ_bus_density,econ_score,bus_score,field_eb
323,202812398,Information Systems Research,1047-7047,,,Information Systems Research,"MIS,KM",1867,271930,INFORMATION SYSTEMS RESEARCH,['MANAGEMENT'],308,Strategy and Management,"Business, Management and Accounting",0.4556354916067146,0,3,B
324,105700240,American Business Law Journal,0002-7766,,,,,1867,8638,AMERICAN BUSINESS LAW JOURNAL,['BUSINESS'],891,Accounting,"Business, Management and Accounting",0.8805601317957167,0,2,B
325,4210228954,Revue de l'OFCE/La Revue de l'OFCE,1265-9576,"Observatoire Francais des Conjonctures Economiques, Revue: observations et diagnostics economiques",['3801' '3802' '3803'],,,1865,5403,,,257,Urban Studies,Social Sciences,0.5784232365145229,3,0,E
326,51113653,The Engineering Economist,0013-791X,The Engineering Economist,['3801'],,,1860,15939,ENGINEERING ECONOMIST,['BUSINESS' 'MANAGEMENT'],468,Finance,"Economics, Econometrics and Finance",1.0,2,1,E
327,151491554,The Geneva Papers on Risk and Insurance Issues and Practice,1018-5895,Geneva Papers on Risk and Insurance: Issues and Practice,['3502' '3801'],Geneva Papers on Risk and Insurance: Issues and Practic,Economics,1844,22995,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,"['BUSINESS, FINANCE']",795,Economics and Econometrics,"Economics, Econometrics and Finance",0.7130829015544041,4,2,A
328,135086714,Journal of Information Technology,0268-3962,,,Journal of Information Technology,"MIS,KM",1843,67556,JOURNAL OF INFORMATION TECHNOLOGY,['MANAGEMENT'],310,Management Information Systems,"Business, Management and Accounting",0.732568402471315,0,3,B
329,191031105,Asia Pacific Journal of Marketing and Logistics,1355-5855,Asia Pacific Journal of Marketing and Logistics,['3506' '3507' '3508'],Asia Pacific Journal of Marketing and Logistics,Marketing,1842,45332,Asia Pacific Journal of Marketing and Logistics,['BUSINESS'],718,Marketing,"Business, Management and Accounting",0.6407889215274863,0,6,B
330,25359449,International Advances in Economic Research,1083-0898,International Advances in Economic Research,['3801' '3802' '3803'],,,1837,12479,International Advances in Economic Research,['ECONOMICS'],254,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",1.0,5,0,E
331,2508752,Business Process Management Journal,1463-7154,,,Business Process Management Journal,"OR,MS,POM",1836,76344,Business Process Management Journal,['BUSINESS' 'MANAGEMENT'],505,Management Information Systems,"Business, Management and Accounting",1.0,0,3,B
332,4210183922,Journal of General Management,0306-3070,Journal of General Management,['3505' '3507'],Journal of General Management,Gen & Strat,1831,20584,JOURNAL OF GENERAL MANAGEMENT,['MANAGEMENT'],155,Strategy and Management,"Business, Management and Accounting",1.0,0,5,B
