,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,entity_type,external_id,filter_key
2,"Del Giudice, Manlio",T,HCP,https://openalex.org/A5046384052,authors/A5046384052,Manlio Del Giudice,"National Research University Higher School of Economics, Russian Federation",15101,276,author,https://orcid.org/0000-0002-2389-4495,authorships.author.id
6,"Yan, Cheng",T,HCP,https://openalex.org/A5056837726,authors/A5056837726,Cheng Yan,"University of Essex, UK",3657,149,author,https://orcid.org/0000-0002-3569-6859,authorships.author.id
0,"Gabauer, David",T,HCP,https://openalex.org/A5079473216,authors/A5079473216,David Gabauer,"Lincoln University - Pennsylvania, USA",8004,132,author,https://orcid.org/0000-0003-2465-5741,authorships.author.id
0,"Hollebeek, Linda D.",T,HCP,https://openalex.org/A5068350949,authors/A5068350949,Linda D. Hollebeek,"Tallinn University of Technology, Estonia",23912,176,author,https://orcid.org/0000-0002-1282-0319,authorships.author.id
1,"Zhou, Kevin Zheng",T,HCP,https://openalex.org/A5110749191,authors/A5110749191,Kevin Zheng Zhou,"University of Hong Kong, Hong Kong",19351,184,author,,authorships.author.id
0,"Su, Bin",T,HCP,https://openalex.org/A5035374545,authors/A5035374545,Bin Su,"Xi'an University of Science and Technology, China",11358,419,author,https://orcid.org/0000-0003-0115-2279,authorships.author.id
1,"Lee, Chi-Chuan",T,HCP,https://openalex.org/A5082666630,authors/A5082666630,Chi‐Chuan Lee,"City University of Macau, Macao",6479,107,author,https://orcid.org/0000-0003-0644-1168,authorships.author.id
3,"Petruzzelli, Antonio Messeni",T,HCP,https://openalex.org/A5025430409,authors/A5025430409,Antonio Messeni Petruzzelli,"Polytechnic University of Bari, Italy",13799,234,author,https://orcid.org/0000-0002-6852-5167,authorships.author.id
0,"Ntim, Collins G.",T,HCP,https://openalex.org/A5043169421,authors/A5043169421,Collins G. Ntim,"King Fahd University of Petroleum and Minerals, Saudi Arabia",12431,272,author,https://orcid.org/0000-0002-1042-4056,authorships.author.id
4,"Gorodnichenko, Yuriy",C,R._K._Cho_Economics_Prize,https://openalex.org/A5017568125,authors/A5017568125,Yuriy Gorodnichenko,"National Bureau of Economic Research, USA",22983,641,author,https://orcid.org/0000-0002-3639-4254,authorships.author.id
3,"Zhang, Bing",T,HCP,https://openalex.org/A5100389664,authors/A5100389664,Bing Zhang,"Kunming University of Science and Technology, China",38897,784,author,https://orcid.org/0000-0001-8676-2425,authorships.author.id
3,"Shao, Shuai",T,HCP,https://openalex.org/A5000043923,authors/A5000043923,Shuai Shao,"Tongji University, China",15329,182,author,https://orcid.org/0000-0002-9525-6310,authorships.author.id
0,"Ritala, Paavo",T,HCP,https://openalex.org/A5047360486,authors/A5047360486,Paavo Ritala,"Luleå University of Technology, Sweden",13618,260,author,https://orcid.org/0000-0002-8525-4610,authorships.author.id
3,"Wu, Haitao",T,HCP,https://openalex.org/A5064876335,authors/A5064876335,Haitao Wu,"Qingdao University, China",3130,209,author,https://orcid.org/0000-0002-7617-2832,authorships.author.id
3,"Ribeiro-Soriano, Domingo",T,HCP,https://openalex.org/A5032073164,authors/A5032073164,Domingo Ribeiro Soriano,"Universitat de València, Spain",12630,268,author,https://orcid.org/0000-0003-3222-9101,authorships.author.id
0,"Bresciani, Stefano",T,HCP,https://openalex.org/A5028407190,authors/A5028407190,Stefano Bresciani,"Department of Medical Sciences, Belarus",10544,187,author,https://orcid.org/0000-0003-0321-9174,authorships.author.id
0,"Palmatier, Robert W.",T,HCP,https://openalex.org/A5110487435,authors/A5110487435,Robert W. Palmatier,"University of Washington, USA",18172,179,author,,authorships.author.id
5,"Wirtz, Jochen",T,HCP,https://openalex.org/A5064998398,authors/A5064998398,Jochen Wirtz,"National University of Singapore, Singapore",24340,359,author,,authorships.author.id
