unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
354108,institution,Minjiang University,,,CN,50.4176,0.619099,1020,0.212122,1614,0.844456,742,1.26963,349,1.42664,345,0.922808,1015,0.518189
196593774,source,Development in Learning Organizations An International Journal,1477-7282,B,,146,0.232549,1020,,580,0.203767,546,,127,,54,0.273677,1082,0.713115
129826125,institution,Södertörn University,,,SE,39.5599,0.618687,1021,0.430002,1091,0.773448,816,,1743,0.171848,1495,1.05259,762,0.370027
88045947,source,The International Trade Journal,0885-3908,E,,150,0.232447,1021,0.209942,399,,779,,127,,54,0.246665,1123,0.169435
198244214,institution,Université Clermont Auvergne,,,FR,42.9936,0.618338,1022,0.771427,568,0.257803,1663,0.991056,509,0.12664,1552,0.708035,1452,0.452431
149715497,source,International Journal of Service Science Management Engineering and Technology,1947-959X,B,,101,0.231515,1022,,580,0.231307,537,,127,,54,0.463042,790,-0.0271041
7006481,source,Margin The Journal of Applied Economic Research,0025-2921,E,,12,0.231092,1023,0.199772,406,,779,,127,,54,0.688239,525,0.969231
2799289540,institution,Indian Institute of Management Kashipur,,,IN,150.392,0.617818,1023,0.213727,1606,0.633544,988,0.845194,630,1.04055,679,1.02401,811,0.306567
45683168,institution,Polytechnique Montréal,,,CA,65.32,0.617271,1024,0.306587,1389,0.725722,876,1.0097,496,0.958779,756,0.824134,1215,0.367316
4210212964,source,World,2673-4060,X,,190,0.229189,1024,,580,,779,,127,0.247906,17,0.353489,947,-0.502786
155209994,source,Environment Development and Sustainability,1387-585X,E,,4039,0.228803,1025,0.232396,382,,779,,127,,54,0.513285,726,-0.29512
132286405,institution,Kadir Has University,,,TR,75.0861,0.616989,1025,0.519803,905,0.347496,1475,1.27696,346,0.632497,1042,0.910634,1041,0.0955224
170238339,institution,Duy Tan University,,,VN,53.9402,0.616888,1026,0.521072,903,0.238549,1698,,1743,2.50142,52,1.50757,249,0.561436
47824075,source,Global Economic Review,1226-508X,E,,76,0.228472,1026,0.193276,411,,779,,127,,54,0.264214,1094,0.198157
203894561,source,International Journal of Pharmaceutical and Healthcare Marketing,1750-6123,B,,145,0.227938,1027,,580,0.246377,524,,127,,54,0.426697,836,-0.300418
67900169,institution,Chung-Ang University,,,KR,159.79,0.615273,1027,0.479568,982,0.509842,1188,0.346616,1168,1.91257,129,0.825555,1212,0.22846
115592961,institution,Jiangsu University,,,CN,399.054,0.614555,1028,0.521963,902,0.455502,1280,0.686617,768,1.29804,433,1.42841,304,0.237211
82178847,source,Economic Papers A journal of applied economics and policy,0812-0439,E,,96,0.224994,1028,0.192272,413,,779,,127,,54,0.21815,1174,-0.155894
4210222494,source,Sustainable Futures,2666-1888,A,,269,0.224756,1029,,580,,779,0.246983,53,,54,0.590813,615,-0.358782
138216421,institution,Eastern Michigan University,,,US,70.6859,0.614325,1029,0.546178,862,0.642181,975,,1743,0.091516,1590,0.582827,1673,0.386632
16197041,institution,Cyprus International University,,,CY,105.934,0.61384,1030,0.677615,673,0.266389,1641,0.70684,749,2.28147,70,1.5626,223,0.243162
2913545599,source,Spanish Journal of Finance and Accounting / Revista Española de Financiación y Contabilidad,0210-2412,B,,89,0.221624,1030,,580,0.181338,561,,127,,54,0.291372,1046,0.243902
87445476,institution,Xi'an Jiaotong University,,,CN,972.586,0.613249,1031,0.419039,1111,0.746041,845,0.848215,628,1.13488,581,0.930745,989,0.158378
16146169,source,International Journal of Economic Theory,1742-7355,E,,102,0.220682,1031,0.21508,396,,779,,127,,54,0.175668,1237,-0.129032
194450716,institution,Jilin University,,,CN,273.263,0.613002,1032,0.49115,956,0.747876,843,0.748672,710,1.06776,651,0.912854,1035,0.0859179
4210240235,source,Resources Conservation & Recycling Advances,2667-3789,A,,140,0.220608,1032,,580,,779,0.33766,46,,54,0.467838,782,-0.426351
67328108,institution,"California State University, Fresno",,,US,55.9528,0.611744,1033,0.0838539,1874,0.894693,695,0.37966,1125,,1658,0.568351,1699,0.0241935
