,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,external_id
0,"Hossain, Mohammad Razib",T,HCP,https://openalex.org/A5047582566,authors/A5047582566,Mohammad Razib Hossain,"The University of Adelaide, Australia",3050.0,55.0,https://orcid.org/0000-0001-8448-1291
0,"Mishra, Dev R.",C,Moskowitz Prize,https://openalex.org/A5032334749,authors/A5032334749,Dev R. Mishra,"University of Saskatchewan, Canada",6128.0,71.0,https://orcid.org/0000-0003-2178-6818
0,"Sundaresan, Suresh",C,SFI BEST PAPER AWARD,https://openalex.org/A5083714704,authors/A5083714704,Suresh Sundaresan,"Columbia University, USA",6415.0,125.0,https://orcid.org/0000-0003-0227-0509
1,"Kondor, Peter",C,SFI BEST PAPER AWARD,https://openalex.org/A5005619956,authors/A5005619956,Péter Kondor,"Central European University, Austria",1061.0,58.0,
0,"Ioannou, Ioannis",T,HCP,https://openalex.org/A5041114744,authors/A5041114744,Ioannis Ioannou,"London Business School, UK",13154.0,76.0,https://orcid.org/0000-0002-5945-4870
0,"Hart, Oliver",C,Nobel Prize,https://openalex.org/A5010150198,authors/A5010150198,Oliver Hart,"University of Colorado Boulder, USA",59259.0,313.0,https://orcid.org/0000-0002-5391-7483
0,"Schmalz, Martin C.",C,ERC,https://openalex.org/A5088570401,authors/A5088570401,Martin C. Schmalz,"Center for Economic and Policy Research, USA",3503.0,103.0,https://orcid.org/0000-0002-8094-9456
0,"Minor, Dylan",C,Moskowitz Prize,https://openalex.org/A5023658727,authors/A5023658727,Dylan Minor,"Anderson University - South Carolina, USA",2545.0,61.0,
0,"Koren, Miklos",C,ERC,https://openalex.org/A5066597415,authors/A5066597415,Miklós Koren,"University of Ljubljana, Slovenia",2785.0,90.0,https://orcid.org/0000-0003-4495-7560
1,"Klingler, Sven",C,SFI BEST PAPER AWARD,https://openalex.org/A5067818890,authors/A5067818890,Angelo Ranaldo,,3599.0,143.0,https://orcid.org/0000-0002-8785-816X
0,"Loualiche, Erik",C,SFI BEST PAPER AWARD,https://openalex.org/A5033873901,authors/A5033873901,Erik Loualiche,"University of Minnesota, USA",463.0,31.0,https://orcid.org/0000-0002-2907-341X
