source_idx,source_name,era_journal_name,harzing_journal_name,wos_journal_name,n_refs,n_exogenous,frac_exogenous
4306525181,Quarterly journal of business and economics,Quarterly Journal of Business and Economics,,,227,69,0.304
4210187274,Afro-Asian J of Finance and Accounting,Afro-Asian Journal of Finance and Accounting,,,2533,771,0.3044
2898365741,European Journal of Family Business,,,European Journal of Family Business,10146,3097,0.3052
130164084,Journal of financial reporting & accounting,Journal of Financial Reporting and Accounting,,Journal of Financial Reporting and Accounting,39705,12125,0.3054
73660788,International Journal of Strategic Business Alliances,International Journal of Strategic Business Alliances,,,1268,388,0.306
162525099,Financial Analysts Journal,Financial Analysts Journal,Financial Analysts Journal,FINANCIAL ANALYSTS JOURNAL,12197,3736,0.3063
35796699,Kredit und Kapital,Kredit und Kapital,,,1157,355,0.3068
102949365,Strategic Management Journal,Strategic Management Journal,Strategic Management Journal,STRATEGIC MANAGEMENT JOURNAL,125672,38587,0.307
23343376,International Business Review,International Business Review,International Business Review,International Business Review,135797,41708,0.3071
62246846,International Journal of Accounting Auditing and Performance Evaluation,"International Journal of Accounting, Auditing and Performance Evaluation",,,4273,1316,0.308
184351885,Managerial Finance,Managerial Finance,Managerial Finance,MANAGERIAL FINANCE,52834,16319,0.3089
43637407,R and D Management,R and D Management,R and D Management,R & D MANAGEMENT,52204,16167,0.3097
11394615,Strategic Organization,Strategic Organization,Strategic Organization,Strategic Organization,33047,10248,0.3101
52721111,Journal of Real Estate Research,Journal of Real Estate Research,,Journal of Real Estate Research,10299,3198,0.3105
144747835,Australian Accounting Review,Australian Accounting Review,Australian Accounting Review,Australian Accounting Review,21330,6655,0.312
31748134,Industrial Marketing Management,Industrial Marketing Management,Industrial Marketing Management,INDUSTRIAL MARKETING MANAGEMENT,228980,71497,0.3122
4306516105,Journal of Taxation and Accounting,Journal of Taxation and Accounting,,,35,11,0.3143
2736251538,The Review of Corporate Finance Studies,Review of Corporate Finance Studies,Review of Corporate Finance Studies,Review of Corporate Finance Studies,9574,3016,0.315
65924262,Contemporary Accounting Research,Contemporary Accounting Research,Contemporary Accounting Research,CONTEMPORARY ACCOUNTING RESEARCH,63274,19946,0.3152
149205526,Chinese Management Studies,Chinese Management Studies,,Chinese Management Studies,45541,14358,0.3153
35128040,Applied Financial Economics,,Applied Financial Economics,,24113,7603,0.3153
4210229174,American J of Finance and Accounting,American Journal of Finance and Accounting,,,893,283,0.3169
82316188,European Journal of Finance,The European Journal of Finance,European Journal of Finance,European Journal of Finance,54565,17306,0.3172
173789977,Corporate Governance,Corporate Governance,Corporate Governance: The International Journal of Busin,Corporate Governance-The International Journal of Business in Society,65016,20630,0.3173
66624660,Pacific Accounting Review,Pacific Accounting Review,,Pacific Accounting Review,18603,5913,0.3179
128478731,Management International Review,Management International Review,Management International Review,MANAGEMENT INTERNATIONAL REVIEW,52165,16603,0.3183
4210188034,Journal of Management Research,Journal of Management Research,,,113,36,0.3186
161221442,Abacus,Abacus,Abacus,Abacus-A Journal of Accounting Finance and Business Studies,22176,7068,0.3187
181388337,International Journal of Innovation Management,International Journal of Innovation Management,International Journal of Innovation Management,International Journal of Innovation Management,81049,25847,0.3189
4210183760,Strategy Science,Strategy Science,Strategy Science,Strategy Science,14614,4668,0.3194
31690342,Strategic Entrepreneurship Journal,Strategic Entrepreneurship Journal,Strategic Entrepreneurship Journal,Strategic Entrepreneurship Journal,35529,11347,0.3194
77392188,Journal of Marketing Channels,Journal of Inter-Organizational Relationships,,Journal of Inter-Organizational Relationships,9831,3144,0.3198
14764538,Journal of strategy and management,Journal of Strategy and Management,,Journal of Strategy and Management,31446,10073,0.3203
92422469,Journal of Multinational Financial Management,Journal of Multinational Financial Management,Journal of Multinational Financial Management,Journal of Multinational Financial Management,22290,7149,0.3207
143806524,The Journal of Portfolio Management,The Journal of Portfolio Management: the journal for investment professionals,Journal of Portfolio Management,JOURNAL OF PORTFOLIO MANAGEMENT,17707,5687,0.3212
2764704972,Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management Journal of Accounting and Finance,,Asian Academy of Management Journal of Accounting and Finance,7404,2387,0.3224
2898409089,BRQ Business Research Quarterly,Brq Business Research Quarterly,,,24725,7976,0.3226
115276198,The Journal of Wealth Management,The Journal of Wealth Management,,,248,80,0.3226
323237,Accounting and Business Research,Accounting and Business Research,Accounting and Business Research,ACCOUNTING AND BUSINESS RESEARCH,30384,9807,0.3228
5835822,The International Journal of Accounting,,International Journal of Accounting,,9861,3191,0.3236
152282257,Journal of Corporate Finance,Journal of Corporate Finance,Journal of Corporate Finance,JOURNAL OF CORPORATE FINANCE,130406,42288,0.3243
86762183,Journal of Accounting and Public Policy,,Journal of Accounting and Public Policy,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,34274,11116,0.3243
4210194421,Advances in international management,Advances in International Management,,,154,50,0.3247
191556934,Journal of Intellectual Capital,Journal of Intellectual Capital,,Journal of Intellectual Capital,48702,15844,0.3253
78792899,Journal of Small Business Management,Journal of Small Business Management,Journal of Small Business Management,JOURNAL OF SMALL BUSINESS MANAGEMENT,89754,29296,0.3264
193228710,Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,65205,21335,0.3272
127060114,NBER Macroeconomics Annual,Macroeconomics Annual,,NBER Macroeconomics Annual,4955,1623,0.3275
65353606,International Journal of Retail & Distribution Management,International Journal of Retail and Distribution Management,International Journal of Retail and Distribution Manageme,International Journal of Retail & Distribution Management,62967,20630,0.3276
4210211425,Annals of Corporate Governance,,,Annals of Corporate Governance,744,244,0.328
2737238315,East Asian Economic Review,,,East Asian Economic Review,4852,1593,0.3283
4210222895,Meditari Accountancy Research,Meditari Accountancy Research,,Meditari Accountancy Research,40064,13175,0.3288
2764806082,China Journal of Accounting Research,China Journal of Accounting Research,,China Journal of Accounting Research,12829,4219,0.3289
