,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
77,"Rabin, Matthew",https://openalex.org/A5112459695,160,Matthew Rabin,B13,8,390,1,732.3761231751582,91.54701539689478,53.3,C,John Von Neumann Award
78,"Morse, Adair",https://openalex.org/A5013391291,97,Adair Morse,MP11,12,867,1,1096.886098467366,91.40717487228049,53.3,C,Moskowitz Prize
79,"Biais, Bruno",https://openalex.org/A5006723379,188,Bruno Biais,D04,10,557,1,908.766791996892,90.8766791996892,53.1,C,ERC
80,"Venkateswaran, Venky",https://openalex.org/A5011891408,67,Venky Venkateswaran,S09,11,412,0,995.8674344413919,90.53340313103563,53.0,C,SFI BEST PAPER AWARD
81,"Puga, Diego",https://openalex.org/A5016166651,101,Diego Puga,A86,5,489,1,445.4321398809524,89.08642797619049,52.6,C,ERC
82,"Casamatta, Catherine",https://openalex.org/A5108073127,36,Catherine Casamatta,S14,4,266,1,353.7358852214452,88.4339713053613,52.4,C,SFI BEST PAPER AWARD
83,"Athey, Susan",https://openalex.org/A5001211242,370,Susan Athey,H16,18,2462,5,1579.801729226052,87.76676273478067,52.2,C,John Von Neumann Award
84,"Chaney, Thomas",https://openalex.org/A5020537470,180,Philip Sauré,D01,9,518,0,775.6023727453103,86.17804141614559,51.7,C,ERC
85,"Robin, Jean-Marc",https://openalex.org/A5076299639,240,Jean‐Marc Robin,Y34,10,338,0,859.1082274314575,85.91082274314576,51.6,C,ERC
86,"Foss, Nicolai J.",https://openalex.org/A5042599675,516,Nicolai J. Foss,B06,16,3222,4,1361.770531354756,85.11065820967228,51.4,T,HCP
87,"Aguilera, Ruth V.",https://openalex.org/A5085797169,264,Ruth V. Aguilera,B01,33,4648,5,2791.651688498723,84.59550571208251,51.2,T,HCP
88,"Gawer, Annabelle",https://openalex.org/A5034801924,107,Annabelle Gawer,B08,13,3261,4,1090.412390051615,83.87787615781654,51.0,T,HCP
89,"Kostova, Tatiana",https://openalex.org/A5061656331,71,Tatiana Kostova,B12,15,1980,3,1251.951000922411,83.46340006149407,50.9,T,HCP
90,"Gorodnichenko, Yuriy",https://openalex.org/A5017568125,641,Yuriy Gorodnichenko,A45,46,2852,6,3751.043267488345,81.54441885844228,50.3,C,R._K._Cho_Economics_Prize
91,"Taylor, Alan M.",https://openalex.org/A5063748244,443,Alan M. Taylor,B22,23,1592,3,1870.133346152736,81.31014548490157,50.2,C,Sanwa Prize in International Economics and Financial Markets
92,"Veldkamp, Laura",https://openalex.org/A5013719629,234,Justin Wolfers,S08,16,674,0,1296.372688163781,81.0232930102363,50.1,C,SFI BEST PAPER AWARD
93,"Burke, Marshall",https://openalex.org/A5042407637,308,Marshall Burke,H13,15,4263,5,1215.242148903874,81.01614326025826,50.1,C,bet paper awards
94,"Moxnes, Andreas",https://openalex.org/A5087528377,106,Andreas Moxnes,A90,9,656,1,725.3156632276057,80.59062924751174,50.0,C,ERC
95,"Schularick, Moritz",https://openalex.org/A5063748244,443,Alan M. Taylor,A73,28,1949,2,2223.218954273505,79.40067693833944,49.6,C,Gossen_Prize
96,"Johnson, Simon",https://openalex.org/A5111446264,350,Simon Johnson,A03,5,334,1,391.2399986507936,78.24799973015872,49.3,C,Nobel Prize
97,"Levin, Jonathan",https://openalex.org/A5069334537,170,Jonathan Levin,A24,11,704,1,847.0919456660007,77.00835869690916,48.9,C,John_Bates_Clark_Medal
98,"Goldin, Claudia",https://openalex.org/A5000387389,384,Claudia Goldin,A05,12,773,0,908.9246743897768,75.74372286581473,48.5,C,Nobel Prize
99,"Jackson, Matthew O.",https://openalex.org/A5044618645,436,Matthew O. Jackson,A07,19,1184,2,1405.168754777445,73.95625025144446,47.9,C,John Von Neumann Award
100,"Miguel, Edward",https://openalex.org/A5111439367,239,Edward Miguel,H10,31,3830,6,2289.892489577922,73.86749966380393,47.9,C,Frisch Medal 
101,"Hsiang, Solomon",https://openalex.org/A5056371388,240,Solomon Hsiang,H14,13,3341,6,959.4971196281497,73.8074707406269,47.9,C,Andrew Carnegie Fellow Award
102,"Nekoei, Arash",https://openalex.org/A5057259115,32,Arash Nekoei,A84,6,147,0,441.3949261485737,73.56582102476229,47.8,C,ERC
103,"Thaler, Richard H.",https://openalex.org/A5081252843,274,Richard H. Thaler,B03,5,1006,2,366.7608441891442,73.35216883782883,47.7,C,John Von Neumann Award
104,"Foucault, Thierry",https://openalex.org/A5109167594,149,Thierry Foucault,A97,11,601,1,801.7991955944055,72.89083596312777,47.6,C,ERC
105,"Pedersen, Lasse Heje",https://openalex.org/A5022954104,216,Lasse Heje Pedersen,A55,18,1786,4,1309.971252358752,72.77618068659734,47.5,C,German_Bernacer_Prize
106,"Kremer, Michael",https://openalex.org/A5035113852,487,Michael Kremer,A12,19,913,0,1357.407995654623,71.44252608708544,47.1,C,Nobel Prize
107,"Doepke, Matthias",https://openalex.org/A5075247079,232,Matthias Doepke,A102,12,762,0,845.4306366519592,70.45255305432993,46.8,C,ERC
108,"Bouvard, Matthieu",https://openalex.org/A5069404997,35,Matthieu Bouvard,S13,8,386,1,553.9763959090909,69.24704948863636,46.4,C,SFI BEST PAPER AWARD
109,"Deschenes, Olivier",https://openalex.org/A5080582136,139,Olivier Deschênes,H19,12,1888,5,826.0242289893439,68.83535241577866,46.2,T,HCP
110,"Hong, Bryan",https://openalex.org/A5004601906,35,Bryan K. Hong,MP8,5,693,2,334.4307538888889,66.88615077777777,45.6,C,Moskowitz Prize
111,"Huang, Ming-Hui",https://openalex.org/A5067763065,149,Ming‐Hui Huang,Y10,15,3690,7,1000.843649911478,66.7229099940985,45.5,T,HCP
112,"Nanda, Ramana",https://openalex.org/A5050841292,172,Ramana Nanda,A53,15,850,1,993.1601392604618,66.21067595069745,45.3,C,ERC
113,"Rust, Roland T.",https://openalex.org/A5037954003,226,Roland T. Rust,Y45,17,3366,5,1098.231654453602,64.60186202668247,44.8,T,HCP
114,"Sarstedt, Marko",https://openalex.org/A5053369574,526,Marko Sarstedt,A75,28,28583,10,1807.818986832335,64.56496381544052,44.8,C,Several paper's awards
115,"Le Barbanchon, Thomas",https://openalex.org/A5032219554,117,Thomas Le Barbanchon,A82,11,350,1,690.3908932367633,62.76280847606939,44.1,C,ERC
116,"Reis, Ricardo",https://openalex.org/A5054925967,61,Ricardo Reis Soares,A60,15,294,0,938.9690366935843,62.59793577957228,44.1,C,German_Bernacer_Prize
117,"Tenreyro, Silvana",https://openalex.org/A5110809939,130,Francesco Caselli,A94,13,672,0,812.180553556166,62.47542719662816,44.0,C,ERC
118,"Shin, Hyun Song",https://openalex.org/A5027298282,488,Hyun Song Shin,A38,28,1902,2,1701.378429567377,60.76351534169203,43.4,C,R._K._Cho_Economics_Prize
119,"Angrist, Joshua",https://openalex.org/A5052500610,225,Philip Oreopoulos,A08,20,708,0,1210.734658108281,60.53673290541403,43.3,C,Nobel Prize
120,"Robinson, James A.",https://openalex.org/A5014156593,433,James A. Robinson,A04,22,1645,1,1317.961439680875,59.90733816731249,43.1,C,Nobel Prize
121,"Gambardella, Alfonso",https://openalex.org/A5069038720,316,Alfonso Gambardella,A76,16,799,1,955.0847778890553,59.69279861806596,43.0,C,ERC
122,"Tirole, Jean",https://openalex.org/A5110429533,536,Jean Tirole,A16,21,852,1,1242.22509791958,59.15357609140859,42.8,C,Nobel Prize
123,"Sims, Christopher A.",https://openalex.org/A5003198220,264,Christopher A. Sims,A22,3,114,0,172.6892867857143,57.56309559523809,42.3,C,Nobel Prize
124,"Kannan, P. K.",https://openalex.org/A5108540278,9,P. K. Kannan,B02,26,3533,5,1492.4995179551,57.4038276136577,42.2,T,HCP
125,"Pathak, Parag A.",https://openalex.org/A5019266000,228,Parag A. Pathak,A31,26,818,0,1486.779018957154,57.183808421429,42.1,C,John_Bates_Clark_Medal
126,"Fisher, Greg",https://openalex.org/A5101462655,143,Greg Fisher,B05,34,2041,3,1917.543048033911,56.39832494217384,41.8,T,HCP
127,"Dimson, Elroy",https://openalex.org/A5074071848,146,Elroy Dimson,MP12,10,886,1,559.2083577960929,55.92083577960928,41.7,C,Moskowitz Prize
128,"Ringle, Christian M.",https://openalex.org/A5087109003,368,Christian M. Ringle,H15,34,29054,17,1866.985764698912,54.91134602055623,41.3,T,HCP
129,"Manova, Kalina",https://openalex.org/A5113264418,85,Kalina Manova,A93,9,830,0,494.0539396259296,54.89488218065885,41.3,C,ERC
130,"Gormsen, Niels",https://openalex.org/A5057300372,48,Niels Joachim Gormsen,MP2,5,110,0,267.4986388888889,53.49972777777778,40.7,C,Moskowitz Prize
131,"Asher, Sam",https://openalex.org/A5001234997,184,Sam Asher,A85,9,544,1,480.5779433982684,53.39754926647427,40.7,C,ERC
132,"Nambisan, Satish",https://openalex.org/A5044791619,147,Keld Laursen,B15,13,1780,4,693.6795678626929,53.35996675866868,40.7,T,HCP
133,"Jiang, Hao",https://openalex.org/A5053349677,381,Hao Jiang,S05,9,390,0,469.5972766433567,52.17747518259519,40.2,C,SFI BEST PAPER AWARD
134,"Aghion, Philippe",https://openalex.org/A5084984675,685,Philippe Aghion,B04,30,2298,4,1562.119874378954,52.07066247929848,40.2,C,John Von Neumann Award
135,"Hjort, Jonas",https://openalex.org/A5022127778,59,Jonas Hjort,A67,8,399,1,416.3101392107893,52.03876740134866,40.2,C,ERC
